term,estimate,std_err,z,p_value
Intercept,0.0868863491429272,0.017907069291765193,4.852069745599469,1.22179637451492e-06
C(urban_rural_code)[T.2],-0.003691101168491531,0.001739810763794365,-2.1215532432053608,0.033875272337327546
C(urban_rural_code)[T.3],-0.0034116059291817817,0.001768693041270243,-1.9288852557092826,0.053745108637347355
C(urban_rural_code)[T.4],-0.002425675948213136,0.0018118860321521377,-1.33875746331128,0.18064964254922455
C(urban_rural_code)[T.5],-0.0028138954655161446,0.00182305923397742,-1.5435019406237225,0.12270903700308274
C(urban_rural_code)[T.6],-0.0020095269595102358,0.0019090388697968108,-1.052638053265055,0.2925069097578893
college_c,-0.0600820960071984,0.005944688166682776,-10.106854106146512,5.151181973499195e-24
pct_hispanic,0.04611424280663631,0.0025759606987138697,17.901764894806163,1.142434326188521e-71
log_pop_density,-0.0002616446382252403,0.00026394154873462183,-0.9912976546497007,0.32154025789015495
rep_share_2020,-0.05452750374000209,0.0031061733747859447,-17.554558989727912,5.489167405147556e-69
pct_black,-0.013824416920219473,0.0032726471544060475,-4.224230803986098,2.3975824263778112e-05
log_median_income,-0.003045161074297954,0.001648122776864507,-1.847654262803928,0.0646523744461307
