state_fips,intercept_re,slope_college_re,state_name,state_abbr
01,0.010473334408501015,-0.0010542169229026696,Alabama,AL
04,1.870247907917422e-05,-0.01990144360994055,Arizona,AZ
05,0.00010980848016036483,-0.01788511622786962,Arkansas,AR
06,0.0005906315548702396,-0.02392243993843671,California,CA
08,-0.012227074889451572,-0.006286033742345778,Colorado,CO
10,-0.0051181435692893695,-0.005961766249007633,Delaware,DE
11,-0.00257441718301518,-0.010045806493566688,District of Columbia,DC
12,0.013624456318356888,0.027502176609156558,Florida,FL
13,-0.003259410197814148,-0.03354009759851256,Georgia,GA
15,0.007360729051845289,0.01032603205609951,Hawaii,HI
16,0.002203625648489711,0.03869115938808687,Idaho,ID
17,-0.003859381742586711,-0.008683557958260708,Illinois,IL
18,-0.004018757435127845,-0.019394310850731983,Indiana,IN
19,0.00559315168589412,0.02920680192719801,Iowa,IA
20,-0.005267843323568402,0.005779451766367043,Kansas,KS
21,0.008276400959455525,-0.014341128324818205,Kentucky,KY
22,0.007844927159478567,-0.03732573619450739,Louisiana,LA
23,-0.004240933590660616,-0.027917968018458972,Maine,ME
24,-0.0025045785419474417,0.007565933904260751,Maryland,MD
25,0.010480901178334744,0.019693238459672063,Massachusetts,MA
26,-0.005435322783556331,-0.010799145576060999,Michigan,MI
27,-0.0005565172385655799,-0.02149610811186739,Minnesota,MN
28,0.01073469473374807,0.02676217315542124,Mississippi,MS
29,-0.0017540699610467706,-0.00733690870327105,Missouri,MO
30,0.004659245001165748,0.019382457756126754,Montana,MT
31,-0.003249712133651653,0.01416980810857533,Nebraska,NE
32,-0.007573782992615765,0.006247486738904062,Nevada,NV
33,0.005427979336251479,0.008418079539681003,New Hampshire,NH
34,0.014605631697202503,0.04070957721649185,New Jersey,NJ
35,-0.015112118528500475,-0.014510985286804676,New Mexico,NM
36,0.0025276548156721447,0.04664796221321508,New York,NY
37,-0.004617865805370844,-0.038412274686805546,North Carolina,NC
38,0.002012142486821569,0.0244785054427744,North Dakota,ND
39,-0.0007175346050171146,-0.013242376195949314,Ohio,OH
40,-0.008388849544450653,-0.01417322926376874,Oklahoma,OK
41,-0.013245871653385,-0.03600101130242305,Oregon,OR
42,-0.0059160892358173485,0.015170977624178465,Pennsylvania,PA
44,0.005155382807549879,0.010049629885039098,Rhode Island,RI
45,0.01659338677613357,-0.009852883984140528,South Carolina,SC
46,0.0021498886390035146,0.036013896537351424,South Dakota,SD
47,0.010710623809191463,0.009277213168088801,Tennessee,TN
48,0.0009616037410476921,0.03247208495716036,Texas,TX
49,-0.012155827534494935,0.008932594377939853,Utah,UT
50,0.002178135693535662,-0.026199973052539006,Vermont,VT
51,0.0012407169529721732,3.642202967384711e-05,Virginia,VA
53,-0.01744262717525297,-0.03282612175282935,Washington,WA
54,0.003701576363151724,0.0023548388797587087,West Virginia,WV
55,-0.006525721916147504,-0.008900656929087038,Wisconsin,WI
56,-0.0034728801965817325,0.020122795233682877,Wyoming,WY
